OBJECTID	Field1	X	longitude	latitude	xco2	sif757	sif771	year	month	day	date
1	3863	3863	-47.85092	-26.29685	392.7981	-0.2537557	-0.004323831	2014	10	29	41941
2	3864	3864	-47.85092	-26.04789	394.1732	-3.372943	-0.506907	2014	10	29	41941
3	3865	3865	-47.85092	-25.79894	394.1913	-0.1020018	-0.4368816	2014	10	29	41941
4	3866	3866	-47.85092	-25.54998	393.9594	0.2227654	-0.0700494	2014	10	29	41941
5	3867	3867	-47.85092	-25.30102	394.4365	-0.1070812	0.1179676	2014	10	29	41941
6	3868	3868	-47.85092	-25.05206	394.2686	0.1035356	0.08195133	2014	10	29	41941
7	3893	3893	-47.60118	-26.54581	392.5617	0.2629089	-0.2422477	2014	10	29	41941
8	3894	3894	-47.60118	-26.29685	394.0998	0.06472429	-0.4524099	2014	10	29	41941
9	3895	3895	-47.60118	-26.04789	393.9859	0.1064955	-0.3920152	2014	10	29	41941
10	3896	3896	-47.60118	-25.79894	394.07	0.8577458	0.0603439	2014	10	29	41941
11	4075	4075	-45.85297	-23.80727	392.7121	0.08891852	-0.7071568	2014	10	13	41925
12	4129	4129	-45.10374	-24.30518	395.9912	-0.1176047	0.3930767	2014	10	31	41943
13	4130	4130	-45.10374	-24.05622	397.3913	0.8945803	-0.6609146	2014	10	31	41943
14	4131	4131	-45.10374	-23.80727	398.3154	4.016557	-0.04324939	2014	10	31	41943
15	4132	4132	-45.10374	-23.55831	398.7035	0.05159118	-0.298964	2014	10	31	41943
16	4156	4156	-44.854	-25.30102	398.1776	-0.4922581	0.5394579	2014	10	31	41943
17	4157	4157	-44.854	-25.05206	397.1097	-0.3972078	-0.01238983	2014	10	31	41943
18	4158	4158	-44.854	-24.8031	396.4348	0.061129	-1.24318	2014	10	31	41943
19	4159	4159	-44.854	-24.30518	396.9379	-1.626569	-0.5362915	2014	10	31	41943
20	4184	4184	-44.60425	-26.29685	391.093	-2.448338	0.1230834	2014	10	31	41943
21	4185	4185	-44.60425	-26.04789	394.7801	-0.1936567	-0.2095721	2014	10	31	41943
