longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-30.973254722137845,-31.0978430275:-30.8486664168,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,-0.00282796,-0.0145785,3.97144e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.724078111370424,-30.8486664168:-30.599489806,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,8.64037e-4,-4.8539e-4,3.96617e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.474901500603004,-30.599489806:-30.3503131952,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,0.00611086,-0.00465276,3.96776e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.22572488983559,-30.3503131952:-30.1011365845,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,0.00410254,0.0173931,3.96749e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.97654827906817,-30.1011365845:-29.8519599737,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,0.00207122,0.0274479,3.96383e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.727371668300748,-29.8519599737:-29.6027833629,20151014120000,20151014000000:20151015000000,3046.93310546875,0.0:6093.86621094,0.017874,-0.0200509,3.94987e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.996309620650123,-24.120897926:-23.8717213153,20151007120000,20151007000000:20151008000000,3046.93310546875,0.0:6093.86621094,-0.12793,0.00476074,3.94678e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.747133009882702,-23.8717213153:-23.6225447045,20151007120000,20151007000000:20151008000000,3046.93310546875,0.0:6093.86621094,0.00105762,-0.0301848,3.94928e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.49795639911528,-23.6225447045:-23.3733680937,20151007120000,20151007000000:20151008000000,3046.93310546875,0.0:6093.86621094,0.00301152,0.00483686,3.92789e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.248779788347868,-23.3733680937:-23.124191483,20151007120000,20151007000000:20151008000000,3046.93310546875,0.0:6093.86621094,1.55978e-5,-0.00152502,3.93703e-4
